name, detector type, wavelength units, number of def points, central wavelength (nm), pivot wavelength (nm), effective wavelength (nm), Vega mag (mag), Vega flux (flam), Vega flux (Jy), AB mag (mag), AB flux (flam), AB flux (Jy), ST mag (mag), ST flux (flam), ST flux (Jy)
CFHT_MEGAPRIME_CFH9702, photon, nm, 40, 755.246, 753.844, 746.731, 22.1563, 1.37238e-09, 2601.45, 21.7944, 1.91539e-09, 3630.78, 21.1, 3.63078e-09, 6882.44
CFHT_MEGAPRIME_CFH9801, photon, nm, 293, 1014, 1008.11, 980.608, 23.0324, 6.12416e-10, 2076.06, 22.4255, 1.07104e-09, 3630.78, 21.1, 3.63078e-09, 12308.2
CFHT_WIRCAM_CFH8002, photon, nm, 875, 1025.88, 1025.3, 1022.12, 23.0678, 5.92789e-10, 2078.66, 22.4622, 1.03542e-09, 3630.78, 21.1, 3.63078e-09, 12731.6
CFHT_WIRCAM_CFH8101, photon, nm, 1077, 1254.46, 1253.6, 1248.15, 23.8182, 2.96968e-10, 1556.7, 22.8987, 6.92637e-10, 3630.78, 21.1, 3.63078e-09, 19032.4
CFHT_WIRCAM_CFH8102, photon, nm, 512, 1189.23, 1189.22, 1189.18, 23.6131, 3.58734e-10, 1692.3, 22.7843, 7.69653e-10, 3630.78, 21.1, 3.63078e-09, 17127.9
CFHT_WIRCAM_CFH8103, photon, nm, 1070, 1253.98, 1253.14, 1247.79, 23.817, 2.97294e-10, 1557.26, 22.8979, 6.93146e-10, 3630.78, 21.1, 3.63078e-09, 19018.5
CFHT_WIRCAM_CFH8104, photon, nm, 467, 1062.88, 1062.87, 1062.84, 23.1881, 5.306e-10, 1999.43, 22.5403, 9.6352e-10, 3630.78, 21.1, 3.63078e-09, 13681.7
CFHT_WIRCAM_CFH8201, photon, nm, 828, 1630.95, 1628.74, 1615.76, 24.8128, 1.18814e-10, 1051.35, 23.4672, 4.10317e-10, 3630.78, 21.1, 3.63078e-09, 32127.8
CFHT_WIRCAM_CFH8202, photon, nm, 828, 1636.87, 1634.68, 1621.87, 24.8265, 1.17323e-10, 1045.75, 23.4751, 4.07339e-10, 3630.78, 21.1, 3.63078e-09, 32362.6
CFHT_WIRCAM_CFH8203, photon, nm, 850, 1691.9, 1691.59, 1689.66, 24.9622, 1.03546e-10, 988.325, 23.5494, 3.80393e-10, 3630.78, 21.1, 3.63078e-09, 34655.1
CFHT_WIRCAM_CFH8204, photon, nm, 795, 1589.21, 1588.92, 1587.28, 24.7329, 1.27889e-10, 1077, 23.4135, 4.31138e-10, 3630.78, 21.1, 3.63078e-09, 30576.2
CFHT_WIRCAM_CFH8301, photon, nm, 912, 2151.86, 2149.72, 2135.76, 25.8931, 4.39318e-11, 677.206, 24.0699, 2.35536e-10, 3630.78, 21.1, 3.63078e-09, 55968.3
CFHT_WIRCAM_CFH8302, photon, nm, 910, 2149.74, 2147.63, 2133.77, 25.8891, 4.40912e-11, 678.343, 24.0677, 2.35995e-10, 3630.78, 21.1, 3.63078e-09, 55859.5
CFHT_WIRCAM_CFH8303, photon, nm, 656, 2224.57, 2224.54, 2224.36, 26.0351, 3.85431e-11, 636.218, 24.1442, 2.19958e-10, 3630.78, 21.1, 3.63078e-09, 59932.2
CFHT_WIRCAM_CFH8304, photon, nm, 601, 2130.02, 2130, 2129.61, 25.8592, 4.53244e-11, 685.914, 24.0498, 2.39918e-10, 3630.78, 21.1, 3.63078e-09, 54946.1
CFHT_WIRCAM_CFH8305, photon, nm, 286, 2171.99, 2171.96, 2171.99, 25.9814, 4.04997e-11, 637.288, 24.0922, 2.30737e-10, 3630.78, 21.1, 3.63078e-09, 57132.5
GALEX_FUV, photon, nm, 14, 153.986, 153.64, 154.388, 20.466, 6.51019e-09, 512.606, 18.3405, 4.61115e-08, 3630.78, 21.1, 3.63078e-09, 285.884
GALEX_NUV, photon, nm, 23, 231.389, 229.925, 227.261, 20.8781, 4.45418e-09, 785.448, 19.2159, 2.05897e-08, 3630.78, 21.1, 3.63078e-09, 640.25
GROUND_BESSELL_H, energy, nm, 20, 1647.09, 1640.28, 1631.5, 24.8392, 1.15958e-10, 1040.68, 23.4825, 4.04561e-10, 3630.78, 21.1, 3.63078e-09, 32584.9
GROUND_BESSELL_J, energy, nm, 21, 1236.99, 1230.32, 1221.19, 23.7416, 3.18678e-10, 1609.04, 22.858, 7.19096e-10, 3630.78, 21.1, 3.63078e-09, 18332.1
GROUND_BESSELL_K, energy, nm, 25, 2212.21, 2202.75, 2188.73, 25.9893, 4.02052e-11, 650.714, 24.1228, 2.24332e-10, 3630.78, 21.1, 3.63078e-09, 58763.5
